project_id,project_name,organization,segment,category,region,platform,permission_model,consensus_family,architecture_type,governance_type,consortium_size,has_native_token,launch_year,end_year,failure_year,investment_usd,value_at_risk_usd,status_original,status_clean,outcome,resolution,na,nc,ns,se,sm,sf,ls,lr,lp,network_domain,system_domain,law_domain,overall_score,failure_category,failure_reasons,scoring_method,evidence_summary,primary_data_sources
E039,NASDAQ Linq,NASDAQ,enterprise,Securities,North America,,permissioned,custom (Chain.com),private chain (Chain protocol on NASDAQ infra),,1,no,2015,2019,2019,Undisclosed,undisclosed,Discontinued,Failed,failed,resolved,1,2,2,2,4,4,2,2,2,1.67,3.33,2.0,2.33,Limited Utility,Private market platform saw minimal usage,systematic-with-review,NASDAQ private market securities issuance. Sound NASDAQ infrastructure (na=1). Fully NASDAQ-controlled (sm=4). Minimal usage in private markets (sf=4). Securities regulation well-established (ls/lr/lp=2).,NASDAQ press releases; Chain.com partnership docs; SEC private market documentation
E068,NYSE Tokenized Securities,NYSE/ICE,enterprise,Securities Trading,North America,Multi-chain (unspecified),permissioned,undisclosed,"private chain (multi-chain, unspecified)",Single Entity,1,no,,,,,undisclosed,Development,Development,not_failed,unresolved,3,3,2,3,4,3,1,2,2,2.67,3.33,1.67,2.56,,,expert-reviewed,"NYSE/ICE tokenized securities platform in development. Single-entity control (sm=4). Architecture assessment based on announced design. Securities regulation well-established (ls=1, lr=2, lp=2).",NYSE/ICE press releases; SEC regulatory filings
E040,Nigeria eNaira,Central Bank of Nigeria,enterprise,Retail CBDC,,Hyperledger Fabric,permissioned,BFT (Hyperledger Fabric),private chain (Hyperledger Fabric/Bitt),,1,yes (CBDC),,,,Undisclosed,<50M (circulation),Failed,Failed,failed,resolved,1,4,2,2,4,4,2,4,2,2.33,3.33,2.67,2.78,,,systematic-with-review,Retail CBDC. Central bank control (sm=4). Technically functional but near-zero adoption — 0.5% of population used it. Pushed via social programmes. Economic instability and cash culture resistance (sf=4).,Central Bank of Nigeria publications; IMF Nigeria Article IV; Reuters/Bloomberg reporting
D005,Olympus DAO,Olympus DAO,defi,Reserve Currency Protocol,Global,Ethereum,permissionless,PoS (Ethereum),public chain (smart contracts on Ethereum),DAO governance,N/A,yes (OHM),2022,,2022,,4B (peak market cap),93% decline,93% decline,not_failed,resolved,2,1,1,2,2,4,3,3,3,1.33,2.67,3.0,2.33,Economic Collapse,Unsustainable rebase APY; Ponzi structure,expert-scored,"Reserve currency protocol with 9,000%+ APY rebase. Unsustainable Ponzi structure (sf=4). DAO governance existed but couldn't prevent collapse (sm=2). Token lost 93%. Novel DAO liability questions (ls/lr/lp=3).",On-chain data (Etherscan); OHM token price data; DAO governance proposals; DeFi Llama
E041,Origin,Target/Others,enterprise,Supply Chain,North America,,permissioned,BFT (Hyperledger),private chain (Hyperledger),,2-5,no,2019,2023,2023,5000000,5M,Failed,Failed,failed,resolved,2,3,3,3,4,4,2,2,2,2.67,3.67,2.0,2.78,Strategic Change,Pilot completed but not expanded,systematic-with-review,Target/retailer supply chain pilot. Standard Hyperledger (na=2). Fully retailer-controlled (sm=4). No business case for expansion beyond pilot (sf=4). Domestic supply chain regulation straightforward (ls/lr/lp=2).,Target supply chain announcements; IBM partnership documentation
E042,Partior,DBS/JPM/Temasek,enterprise,Wholesale FX/payments,,Blockchain-based,permissioned,BFT (custom),private chain (blockchain-based clearing),,2-5,no,,,,Undisclosed,undisclosed,Production,Production,not_failed,resolved,2,3,2,2,4,2,2,2,3,2.33,2.67,2.33,2.44,,,systematic-with-review,DBS/JPMorgan/Temasek wholesale payment network. Consortium governance with major institutional backing (sm=4). In production for interbank settlement. Sound architecture for institutional use case. Regulatory engagement in Singapore and US.,DBS/JPMorgan/Temasek press releases; MAS regulatory filings; Standard Chartered joining announcement
E043,Project Aber,Saudi/UAE Central Banks,enterprise,CBDC,Middle East,,permissioned,BFT (Hyperledger Fabric),private chain (Hyperledger Fabric),,2-5,"yes (CBDC, pilot only)",2019,2020,,Undisclosed,undisclosed (pilot),Pilot Complete,Pilot Complete,not_failed,unresolved,2,3,2,2,3,2,2,2,2,2.33,2.33,2.0,2.22,Pilot Success,Successful pilot for cross-border CBDC,systematic-with-review,Saudi/UAE central bank cross-border CBDC pilot. Successful proof-of-concept completed 2020. Dual central bank governance (sm=3). Research pilot only — no production deployment planned.,Saudi Central Bank/CBUAE joint report; BIS reporting
E044,Project Dunbar,BIS/4 Central Banks,enterprise,CBDC,Global,,permissioned,"multiple (Corda, Partior)",private chain (multi-platform),,6-20,"yes (CBDC, research)",2021,2022,,Undisclosed,undisclosed (research),Research Complete,Research Complete,not_failed,unresolved,2,3,2,2,3,2,2,2,2,2.33,2.33,2.0,2.22,Research Success,Multi-CBDC platform research completed,systematic-with-review,BIS Innovation Hub multi-CBDC platform. Four central banks participated. Research successfully completed 2022. Demonstrated technical feasibility but no production follow-up.,BIS Innovation Hub technical reports; participating central bank publications
E045,Project Jasper,Bank of Canada,enterprise,CBDC,North America,,permissioned,"multiple (Ethereum, Corda, tested)",private chain (multiple platforms tested),,6-20,no (research),2016,2019,,Undisclosed,undisclosed (research),Research Complete,Research Complete,not_failed,unresolved,2,3,2,2,3,2,2,2,2,2.33,2.33,2.0,2.22,Research Only,Successfully completed research objectives,systematic-with-review,Bank of Canada CBDC research 2016-2019. Multiple phases testing DLT for wholesale payments. Research completed successfully — informed Canadian CBDC policy.,Bank of Canada/Payments Canada reports; R3 documentation
E046,Project Khokha,South African Reserve Bank,enterprise,CBDC,Africa,,permissioned,BFT (Quorum),private chain (Quorum/ConsenSys),,6-20,no (pilot),2018,2019,,2000000,2M,Pilot Complete,Pilot Complete,not_failed,unresolved,2,3,2,2,3,2,2,2,2,2.33,2.33,2.0,2.22,Pilot Success,Successful pilot but no production plans,systematic-with-review,South African Reserve Bank wholesale CBDC pilot. Successful technical pilot processing daily volumes in under 2 hours. No production plans following pilot completion.,South African Reserve Bank technical report; ConsenSys case study
E048,Project Stella,ECB/BoJ,enterprise,Securities,Global,,permissioned,"multiple (Hyperledger Fabric, Corda)",private chain (multi-platform research),,2-5,no (research),2016,2020,,Undisclosed,undisclosed (research),Research Complete,Research Complete,not_failed,unresolved,2,3,2,2,3,2,2,2,2,2.33,2.33,2.0,2.22,Research Only,Research collaboration completed successfully,systematic-with-review,"ECB/Bank of Japan joint DLT research 2016-2020. Four phases covering DVP, cross-border, and balancing. Research collaboration — successfully completed all phases. Informed eurozone digital currency design.",ECB/Bank of Japan Stella reports (Phases 1-4)
E047,Project mBridge,BIS + Central Banks,enterprise,Cross-border CBDC,,Custom DLT,permissioned,custom (mBridge Ledger),private chain (purpose-built mBridge Ledger),,6-20,"yes (CBDC, multi-currency)",,,,Undisclosed,undisclosed,Pilot Success,Pilot Success,not_failed,unresolved,1,3,1,1,2,1,1,1,2,1.67,1.33,1.33,1.44,,,systematic-with-review,BIS + multiple central bank cross-border CBDC. Most advanced multi-CBDC project. Custom DLT architecture purpose-built for central bank settlement (na=1). Low mutation authority by design (sm=2). Pilot success with real-value transactions.,BIS Innovation Hub mBridge reports; HKMA/PBoC/BOT/CBUAE joint publications
E049,Proxeus,Proxeus/Switzerland,enterprise,Digital Identity,Europe,,hybrid,PoS (Ethereum),public chain (Ethereum-based workflows),,2-5,yes (XES token),2017,2021,2021,25000000,25M,Failed,Failed,failed,resolved,2,2,3,3,3,4,3,3,3,2.33,3.33,3.0,2.89,Adoption Failure,Failed to achieve adoption despite government support,systematic-with-review,"Swiss digital identity/document workflow. Ethereum-based, adequate (na/nc=2). Foundation-controlled (sm=3). Failed despite Swiss government support (sf=4). Cross-border identity regulation complex (ls/lr/lp=3).",Proxeus Foundation publications; Swiss Federal Council digital identity reports; ICO documentation
E051,SETL,SETL Development,enterprise,Securities Settlement,Europe,,permissioned,custom (high-performance SETL),private chain (custom high-throughput),,1,no,2015,2023,2023,85000000,85M,Failed,Failed,failed,resolved,2,2,2,2,3,4,2,2,2,2.0,3.0,2.0,2.33,Market Failure,Failed to achieve market penetration despite regulatory approvals,systematic-with-review,Securities settlement infrastructure. Custom high-performance DLT — 100K+ TPS (na/nc/ns=2). Company-controlled with regulatory engagement (sm=3). Could not displace incumbent CSDs despite £85M invested (sf=4). UK FCA-engaged (ls/lr/lp=2).,SETL press releases; FCA regulatory engagement; Companies House (UK) filings; Montis Real acquisition
E053,SIX Digital Exchange,SIX Group,enterprise,Digital securities,,R3 Corda,permissioned,notary-based (Corda),private chain (R3 Corda on SIX infra),,1,no,,,,Undisclosed,undisclosed,Production,Production,not_failed,resolved,1,1,1,2,3,1,1,1,1,1.0,2.0,1.0,1.33,,,systematic-with-review,Swiss exchange digital securities platform in production. SIX-controlled (sm=3) but operating under FINMA regulatory framework. Sound architecture leveraging existing exchange infrastructure (na=1). One of few production-grade digital exchanges.,SIX Group annual reports; FINMA licensing documentation; SDX platform announcements
E056,SWIFT CBDC Connector,SWIFT,enterprise,Cross-border payments,,Multi-platform,permissioned,N/A (interoperability layer),middleware (cross-platform connector),,20+,no,,,,Undisclosed,undisclosed,Beta Testing,Beta Testing,not_failed,unresolved,2,2,2,3,3,2,2,2,2,2.0,2.67,2.0,2.22,,,systematic-with-review,SWIFT interoperability layer for CBDCs. SWIFT-controlled (sm=3). Beta testing multi-platform connectivity. Leverages existing SWIFT network infrastructure. Low legal risk given SWIFT's established regulatory position.,SWIFT CBDC sandbox documentation; central bank integration announcements
E050,Saudi Arabia NEOM,NEOM Investment Fund,enterprise,Web3 infrastructure,,Unknown/Web3,TBD,TBD,TBD (early development),,1,no,,,,"50,000,000",50M+,Development Phase,Development Phase,not_failed,unresolved,2,3,2,2,3,2,3,2,2,2.33,2.33,2.33,2.33,,,systematic-with-review,NEOM smart city Web3 infrastructure. Early development phase. Governance unclear. $50M+ allocated. Scores reflect limited available information and development-stage uncertainty.,NEOM investment announcements; Saudi Vision 2030 documentation
E052,Singapore Ubin+,Monetary Authority Singapore,enterprise,Wholesale CBDC settlement,,"Corda, Fabric, Quorum",permissioned,"multiple (Corda, Fabric, Quorum)",private chain (multi-platform evaluation),,6-20,no (research/pilot),,,,Undisclosed,undisclosed,Production Pilots,Production Pilots,not_failed,unresolved,1,3,1,1,3,1,1,1,2,1.67,1.67,1.33,1.56,,,systematic-with-review,"MAS wholesale CBDC settlement project. Multi-platform testing across Corda, Fabric, Quorum. One of the most successful CBDC research programmes globally. Low institutional risk due to MAS governance.",MAS Project Ubin reports (Phases 1-5); Accenture/JPMorgan technical documentation
E054,Société Générale EUR CoinVertible,Société Générale,enterprise,EUR stablecoin,,Ethereum,hybrid,PoS (Ethereum),public chain (ERC-20 on Ethereum),,1,yes (EUR stablecoin),,,,Undisclosed,<100M,Production,Production,not_failed,resolved,1,2,2,1,3,1,1,1,1,1.67,1.67,1.0,1.45,,,systematic-with-review,EUR-denominated security token on Ethereum. SocGen-controlled (sm=3). Limited production for institutional EUR settlement. Regulated under French AMF framework. Low risk due to institutional backing.,SocGen FORGE documentation; AMF (French) regulatory filings; Ethereum transaction data
D012,Solend,Solend Labs,defi,Lending Protocol,Global,Solana,permissionless,PoH + PoS (Solana),public chain (smart contracts on Solana),Token governance,N/A,yes (SLND governance token),2021,,,,500M (peak TVL),Survived,Survived,not_failed,resolved,1,1,1,2,2,1,3,3,3,1.0,1.67,3.0,1.89,,,expert-scored,Solana lending protocol. Governance attempted hostile takeover of whale account — reversed after backlash (sm=2). Protocol remained functional (na/nc=1). Novel DAO governance power questions (ls/lr/lp=3).,On-chain data (Solana Explorer); SLND1 governance proposal; Solend Labs statements; DeFi Llama
E055,Swedish e-Krona,Riksbank,enterprise,Retail CBDC,Europe,,permissioned,notary-based (Corda),private chain (R3 Corda),,1,"yes (CBDC, pilot)",2020,Active,,Undisclosed,undisclosed,Pilot,Pilot,not_failed,unresolved,2,3,2,2,3,3,2,2,3,2.33,2.67,2.33,2.44,,Cash still preferred,systematic-with-review,Riksbank CBDC pilot. Testing R3 Corda-based architecture. Full central bank control (sm=3). Cash still preferred by public — adoption uncertain. Pilot phase ongoing since 2020.,Riksbank e-krona pilot reports; Swedish Parliament (Riksdag) inquiry reports
E057,TBSx3,Mongolia Gov,enterprise,Supply Chain,Asia,,permissioned,custom,private chain,,1,no,2019,2022,2022,3000000,3M,Failed,Failed,failed,resolved,3,3,4,3,4,4,3,3,3,3.33,3.67,3.0,3.33,Technical Failure,Could not handle transaction volumes,systematic-with-review,Mongolian livestock supply chain. Architecture could not handle transaction volumes (ns=4). Government-controlled (sm=4). Zero commercial viability (sf=4). Developing market regulatory framework (ls/lr/lp=3).,Mongolian government ICT reports; development agency publications
D001,Terra/Luna,Terraform Labs,defi,Algorithmic Stablecoin,Global,Cosmos SDK,permissionless,BFT (Tendermint/Cosmos),"public chain (Cosmos SDK, sovereign L1)",Foundation-controlled,N/A,yes (LUNA + UST),2022,,2022,,40B+ (peak market cap + UST),Collapsed,Failed,failed,resolved,3,2,2,3,3,4,3,3,1,2.33,3.33,2.33,2.66,Economic Collapse,Algorithmic stablecoin reflexivity; centralised minting authority; no circuit breakers,expert-scored,"Algorithmic stablecoin death spiral. UST de-pegged triggering $40B collapse. Do Kwon retained unilateral minting authority (sm=3). Reflexive peg mechanism inherently fragile (na=3, sf=4). Criminal prosecution followed (ls=3, lr=3).",On-chain data (Terra Explorer); SEC v. Terraform Labs; Nansen analytics; Jump Trading disclosures
E058,Thailand Retail CBDC,Bank of Thailand,enterprise,Retail CBDC,,Unknown,permissioned,undisclosed,private chain (BOT-controlled),,1,"yes (CBDC, pilot)",,,,Undisclosed,undisclosed,Pilot Expansion,Pilot Expansion,not_failed,unresolved,2,3,2,3,3,2,2,2,2,2.33,2.67,2.0,2.33,,,systematic-with-review,Bank of Thailand retail CBDC pilot. Central bank control (sm=3). Expanding pilot across banks. Architecture undisclosed. Low legal risk given central bank authority.,Bank of Thailand publications; BOT/MAS joint reports
E059,Trade Information Network,Multiple Singaporean Agencies,enterprise,,,Hyperledger Fabric,permissioned,BFT (Hyperledger Fabric),private chain (Hyperledger Fabric),,6-20,no,2018,2021,2021,"15,000,000",15M,Failed,Failed,failed,resolved,2,3,3,3,3,4,2,2,2,2.67,3.33,2.0,2.67,Trade Documentation,Complex multi-agency coordination; limited adoption,systematic-with-review,Singapore multi-agency trade documentation. Hyperledger Fabric functional (na=2). Complex multi-agency governance (sm=3). Limited adoption (sf=4). Clear Singapore regulatory framework (ls/lr/lp=2).,Singapore trade agency publications; Hyperledger case studies
E060,TradeLens,IBM/Maersk,enterprise,Supply Chain,Global,,permissioned,BFT (Hyperledger Fabric),private chain (Hyperledger Fabric/IBM),Consortium,"2-5 (core), 20+ (participants)",no,2018,2022,2022,250000000,250M,Failed,Failed,failed,resolved,2,3,4,4,4,4,2,2,3,3.0,4.0,2.33,3.11,Market Failure,Competitors refused; No network effect,systematic-with-review,"IBM/Maersk shipping supply chain platform. $250M invested. Competitors (CMA CGM, MSC) refused to join IBM/Maersk-controlled platform (sf=4). Consortium governance dominated by founding partners (sm=4). Shut down 2022 due to lack of industry-wide adoption.",IBM/Maersk press releases; GTR/Lloyd's List reporting; shipping industry adoption data
E061,Tradelens (Hapag-Lloyd),Hapag-Lloyd,enterprise,,,Hyperledger Fabric,permissioned,BFT (Hyperledger Fabric),private chain (Hyperledger Fabric),,1,no,2018,2022,2022,"10,000,000",10M,Shut down,Failed,failed,resolved,2,3,3,3,4,4,2,2,2,2.67,3.67,2.0,2.78,Shipping,Followed TradeLens closure; lack of industry cooperation,systematic-with-review,Hapag-Lloyd TradeLens instance. Inherited IBM/Maersk architecture (na=2). Shipping line controlled (sm=4). Failed with parent TradeLens shutdown (sf=4). Maritime regulation standard (ls/lr/lp=2).,Hapag-Lloyd press releases; shipping industry media
E062,Tradelens India,India Ports,enterprise,Supply Chain,Asia,,permissioned,BFT (Hyperledger Fabric),private chain (Hyperledger Fabric),,1,no,2019,2022,2022,10000000,10M,Failed,Failed,failed,resolved,2,3,3,3,4,4,2,2,2,2.67,3.67,2.0,2.78,Parent Failure,Failed when global TradeLens shut down,systematic-with-review,Indian port TradeLens implementation. Same Hyperledger architecture (na=2). Port authority controlled (sm=4). Collapsed when global TradeLens shut down (sf=4). Indian trade regulation standard (ls/lr/lp=2).,Indian port authority announcements; IBM India press releases
E063,Trust Your Supplier,IBM/Chainyard,enterprise,Supplier Management,Global,,permissioned,BFT (Hyperledger Fabric),private chain (Hyperledger Fabric/IBM),,2-5,no,2019,Active,,15000000,15M,Limited Success,Distressed,failed,resolved,3,3,3,4,4,4,3,3,3,3.0,4.0,3.0,3.33,Limited Adoption,Limited to specific IBM clients,systematic-with-review,IBM/Chainyard supplier management. Limited to IBM ecosystem clients (sf=4). IBM-controlled governance (sm=4). Functional but unable to expand beyond captive market.,IBM/Chainyard press releases; supplier onboarding documentation
D007,Uniswap V2/V3,Uniswap Labs,defi,Decentralised Exchange,Global,Ethereum,permissionless,PoS (Ethereum),public chain (immutable smart contracts on Ethereum),Immutable contracts,N/A,yes (UNI governance token),2020,,,,4.5B (current TVL),Operational,Operational,not_failed,resolved,1,1,2,1,0,1,1,3,1,1.33,0.67,1.67,1.22,,,expert-scored,Automated market maker with immutable core contracts. Zero admin keys — cannot be modified (sm=0). Only sm=0 project in dataset. $4.5B TVL. Proven across years (na=1). Regulatory uncertainty around securities (lr=3).,On-chain data (Etherscan); Uniswap governance forum; DeFi Llama; Uniswap Labs blog; SEC Wells notice
E064,Vakt,Oil Trading,enterprise,Commodity Trading,Global,,permissioned,BFT (Quorum → Corda),private chain (migrated Quorum to Corda),Consortium,6-20,no,2018,Active,,60000000,60M,Struggling,Distressed,failed,resolved,3,3,3,4,3,4,2,2,3,3.0,3.67,2.33,3.0,Market Struggle,Complex processes,systematic-with-review,Oil commodity trading platform. Complex post-trade processes proved resistant to blockchain transformation (sf=4). Consortium governance with oil majors (sm=3). $60M invested. Still operational but struggling.,Vakt press releases; Shell/BP/Equinor consortium announcements; Energy Trading press
E065,Venezuela Petro,Venezuelan Gov,enterprise,National Cryptocurrency,South America,,permissioned,"claimed PoS (NEM fork, unverifiable)",alleged public chain (no verifiable infrastructure),Centralized,1,yes (PTR),2018,2020,2020,6000000000,"6B (claimed, likely fraudulent)",Failed,Failed,failed,resolved,4,4,3,4,4,4,4,4,4,3.67,4.0,4.0,3.89,Complete Failure,Sanctions; Fraud; No backing,systematic-with-review,"State-issued cryptocurrency backed by oil. Entirely fabricated — no real blockchain, no oil backing (na/nc=4, se=4). Complete Maduro regime control (sm=4). US sanctions + zero usage (sf=4). Fraud, sanctions (ls/lr/lp=4).",Venezuelan government decrees; US Treasury/OFAC sanctions orders; Reuters/AP investigative reporting
E027,Walmart Food Trust,Walmart/IBM,enterprise,Supply Chain,Global,,permissioned,BFT (Hyperledger Fabric),private chain (Hyperledger Fabric/IBM),Centralized,2-5,no,2018,Active,,25000000,25M,Limited,Distressed,failed,resolved,3,3,3,4,3,3,3,3,3,3.0,3.33,3.0,3.11,Limited Success,Supplier resistance,systematic-with-review,IBM/Walmart food traceability. Mandated for leafy greens suppliers but resistance from broader supplier base (sf=3). Walmart-controlled despite IBM partnership (sm=3). Functional but limited to compliance minimum rather than genuine supply chain transformation.,Walmart supplier mandate documents; IBM Food Trust documentation; FDA FSMA reporting
D006,Wonderland,Wonderland/Daniele Sestagalli,defi,Reserve Currency Protocol,Global,Avalanche,permissionless,PoS (Avalanche),public chain (smart contracts on Avalanche),Pseudonymous team,N/A,yes (TIME + wMEMO),2022,,2022,,2B (peak TVL),Collapsed,Failed,failed,resolved,2,2,1,2,4,4,4,4,3,1.67,3.33,3.67,2.89,Fraud/Governance,Criminal treasurer; Ponzi economics; no accountability,expert-scored,"Olympus DAO fork on Avalanche. Treasury manager was convicted fraudster from QuadrigaCX (sm=4). 30,000% APY unsustainable (sf=4). No legal entity, pseudonymous team (ls/lr=4, lp=3).",On-chain data (Snowtrace); 0xSifu identity reveal reporting; Daniele Sestagalli public statements; DeFi Llama
E067,Yojee,Yojee Limited,enterprise,Logistics,Asia,,hybrid,PoS (Ethereum-based),hybrid (off-chain logistics + on-chain verification),,1,no,2018,Active,,20000000,20M,Struggling,Distressed,failed,resolved,3,3,3,4,4,4,3,3,3,3.0,4.0,3.0,3.33,Limited Adoption,Minimal real-world usage despite partnerships,systematic-with-review,Logistics optimisation platform. Minimal real-world blockchain usage despite partnerships (sf=4). Company-controlled (sm=4). Listed company — some regulatory clarity. $20M invested.,Yojee Limited ASX filings; annual reports; logistics industry press
E024,e-Yuan/DCEP,PBoC,enterprise,Retail CBDC,Asia,,permissioned,custom (PBoC),"private chain (two-tier, PBoC-controlled)",,1,yes (CBDC),2020,Active,,Undisclosed,1B+ (circulation),Production,Production,not_failed,resolved,2,3,2,2,4,2,2,3,2,2.33,2.67,2.33,2.44,,Privacy concerns; Surveillance,systematic-with-review,China's retail CBDC in production pilot. Complete PBoC control (sm=4). Privacy concerns around surveillance capability. Domestic legal authority clear but international acceptance limited. Functional architecture for domestic use.,PBoC Digital Currency Research Institute papers; pilot city reports; Atlantic Council CBDC tracker
E023,eTradeConnect,Hong Kong Banks,enterprise,Trade Finance,Asia,,permissioned,BFT (Hyperledger Fabric),private chain (Hyperledger Fabric),,6-20,no,2018,Active,,25000000,25M,Failed,Failed,failed,resolved,3,3,3,4,4,4,3,3,3,3.0,4.0,3.0,3.33,Limited Adoption,Regional limitation; integration challenges,systematic-with-review,Hong Kong bank trade finance platform. Limited to Hong Kong banks — failed to expand regionally (sf=4). Bank consortium governance (sm=4). Integration challenges with existing trade systems. $25M invested.,HKMA announcements; participating bank press releases; SCMP reporting
